1000 86 1347 2084 0
1300 125 2205 3509 0
1600 169 3254 5494 0
1900 168 5217 7533 0
2200 201 7591 11068 0
2500 219 13056 14223 0
2800 256 20148 16261 0
3100 290 28912 19906 0
3400 322 39603 23831 0
3700 355 49371 29452 0
4000 380 64147 36932 0
4300 403 75708 45810 0
4600 441 92449 54797 0
4900 465 103773 67899 0
5200 498 122308 74840 0
5500 520 138837 85225 0
5800 559 154144 78489 0
6100 592 176054 85293 0
6400 618 192729 116404 0
6700 637 216493 102444 0
7000 641 235625 138832 0
7300 696 255526 123002 0
7600 738 307736 132212 0
7900 770 305732 140247 0
8200 783 336016 153274 0
8500 826 357426 216319 0
8800 873 388351 177183 0
9100 846 416538 185265 0
9400 899 444746 211886 0
9700 941 466957 221227 0
10000 1050 501562 222333 0
