1000 3 2 1
1300 3 2 2
1600 6 3 3
1900 7 5 5
2200 8 9 9
2500 15 16 16
2800 27 15 21
3100 22 24 25
3400 42 23 34
3700 39 29 37
4000 41 36 42
4300 71 42 45
4600 70 44 48
4900 81 48 50
5200 78 50 55
5500 108 56 58
5800 94 57 60
6100 98 62 65
6400 77 56 67
6700 115 69 71
7000 116 70 72
7300 99 69 75
7600 149 77 80
7900 140 81 84
8200 90 80 87
8500 121 87 90
8800 177 90 93
9100 163 91 95
9400 187 99 100
9700 179 100 103
10000 119 94 107
