1000 1814 
1300 2107 
1600 1829 
1900 2139 
2200 2639 
2500 2800 
2800 3085 
3100 4772 
3400 3158 
3700 3308 
4000 3133 
4300 3322 
4600 3500 
4900 3707 
5200 4039 
5500 3699 
5800 3814 
6100 4119 
6400 4327 
6700 4373 
7000 4561 
7300 4750 
7600 5150 
7900 5168 
8200 5375 
8500 5546 
8800 5780 
9100 5920 
9400 6117 
9700 6299 
10000 6511 
