idx	1_A+B	1_A-B	1_A*B	1_A==B	1/2_A+B	1/2_A-B	1/2_A*B	1/2_A==B	mx_A+B	mx_A-B	mx_A*B	mx_A==B	 
49	4.6279	4.70913	8.31619	0.25168	48.5792	26.6975	47.4308	3.89169	91.5212	50.7934	88.3996	7.45954	
50	4.70666	4.80832	8.56958	0.25208	48.2066	26.68	47.4308	3.90176	90.9992	50.6892	88.42	7.46662	
51	4.98999	4.87577	8.79127	0.25292	48.6109	26.6979	47.2429	3.90161	91.0238	50.5617	88.6267	7.45839	
52	4.96875	5.01999	9.11662	0.26042	48.2004	26.7525	47.1246	3.93494	90.9892	50.5404	88.6121	7.57128	
53	5.04956	5.12339	9.45506	0.26169	48.415	26.8625	47.4625	3.92116	91.3825	50.5613	88.2087	7.47082	
54	5.01995	5.15086	9.5475	0.27168	48.2108	26.8925	47.1442	3.92423	91.0433	50.5858	88.6154	7.48076	
55	5.24086	5.34825	9.93461	0.26707	51.9838	26.9213	47.3004	3.95288	91.1425	51.4267	88.7192	7.48208	
56	5.22791	5.33668	10.0671	0.26923	48.395	26.8892	47.2808	3.93499	94.3933	52.7404	89.3862	7.4938	
57	5.30589	5.44289	10.3195	0.27338	48.6463	27.0154	47.5142	3.94333	91.4413	50.9467	89.7421	7.48709	
58	5.3779	5.46663	10.5357	0.27914	48.6692	27.315	47.6346	3.93297	91.5987	51.1954	89.5904	7.49714	
59	5.43502	5.55502	10.7675	0.27912	48.6788	27.14	47.5404	3.95377	92.3367	50.8287	89.1821	7.52082	
60	5.56084	5.69291	11.0729	0.28583	49.0946	27.3604	47.3862	3.95754	91.8425	51.7329	89.9183	7.49998	
61	5.64837	5.74584	11.2709	0.2805	48.9858	27.2404	48.2175	3.95583	91.7904	51.3287	89.3545	7.5721	
62	5.7104	5.84211	11.5288	0.28775	49.1009	27.4313	47.9012	3.95624	92.2696	51.6738	89.7187	7.65203	
63	5.78793	5.9183	11.8612	0.29054	49.6854	27.3775	47.8137	3.97376	95.51	51.5421	89.2667	7.52539	
64	5.98371	6.02709	12.5646	0.29549	49.0892	27.2996	48.0734	3.97163	92.25	51.1796	89.6733	7.5217	
